PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)
1797.0,1451.0,652.0,2323.0,1680.0,12.4,63.9,0.917,5.5
1961.0,1701.0,537.0,2665.0,2184.0,14.8,54.3,0.9076,8.1
1771.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,5.8
1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,4.2
1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,3.1
1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,2.9
1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,2.9
1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,2.5
1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,2.3
1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,2.8
1917.0,1601.0,631.0,2447.0,1843.0,22.5,35.4,0.9547,6.1
2040.0,1754.0,542.0,2679.0,2122.0,20.4,42.5,1.0086,8.0
1895.0,1573.0,565.0,2443.0,1992.0,18.3,52.6,1.0945,6.5
1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,4.2
1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,3.2
1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,1.4
1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,2.1
1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,1.2
968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,0.8
929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,0.7
937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,0.6
1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,0.9
1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,1.3
1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,3.4
1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,3.7
1735.0,1431.0,628.0,2211.0,1843.0,17.8,42.9,0.8672,5.3
1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,4.1
1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,3.3
1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,4.0
1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,3.8
1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7094,2.8
1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7014,2.9
1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7098,2.9
1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.7519,3.4
1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.873,3.9
1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.8704,3.2
1800.0,1426.0,700.0,2106.0,2034.0,19.0,41.3,0.9007,5.1
1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9342,2.6
1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9226,1.7
1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9271,1.7
1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,1.2
998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,0.9
933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.8666,0.7
869.0,554.0,1460.0,1268.0,667.0,11.8,58.0,0.8026,0.5
891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.7978,0.5
1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,1.6
1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.7958,4.1
1852.0,1696.0,553.0,2535.0,1931.0,14.1,50.0,0.802,6.6
1522.0,1331.0,703.0,2026.0,1734.0,17.7,40.1,0.8048,4.3
1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8265,2.9
1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8471,2.5
1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8254,2.8
1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.8503,2.6
1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.65,2.0
1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6309,2.9
1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.5708,2.5
1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5237,5.0
1973.0,1737.0,617.0,2414.0,2306.0,23.1,26.5,0.7403,7.6
1975.0,1667.0,597.0,2416.0,2359.0,20.5,38.2,0.9133,6.7
1795.0,1485.0,653.0,2174.0,2050.0,19.1,42.6,0.9294,5.7
1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.8558,2.8
1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9206,2.6
1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9024,2.3
1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.8975,1.4
1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.8686,1.0
970.0,687.0,1196.0,1351.0,969.0,13.9,53.9,0.8501,0.7
931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8233,0.6
938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8113,0.7
1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8067,1.5
1643.0,1384.0,667.0,2094.0,1610.0,11.5,60.0,0.8117,4.7
1934.0,1682.0,541.0,2468.0,2051.0,14.3,50.6,0.8186,6.6
1617.0,1333.0,686.0,2010.0,1819.0,17.8,40.5,0.821,4.5
1473.0,1127.0,831.0,1752.0,1568.0,20.8,34.4,0.8365,2.8
1379.0,1068.0,899.0,1663.0,1374.0,23.8,28.2,0.8219,2.2
1385.0,1056.0,891.0,1648.0,1268.0,24.2,28.7,0.8515,2.2
1379.0,1087.0,901.0,1660.0,1144.0,25.2,24.9,0.7829,2.3
1322.0,1129.0,934.0,1639.0,1109.0,27.0,17.8,0.6275,2.2
1496.0,1205.0,822.0,1767.0,1347.0,27.1,23.1,0.818,2.8
1409.0,1131.0,873.0,1689.0,1206.0,25.8,23.9,0.7832,2.7
1513.0,1338.0,764.0,1957.0,1397.0,23.0,26.8,0.7446,3.7
1667.0,1464.0,683.0,2118.0,1588.0,20.7,31.1,0.7523,5.1
1667.0,1453.0,684.0,2051.0,1569.0,18.6,36.2,0.7676,5.1
1430.0,1121.0,814.0,1732.0,1322.0,16.0,48.4,0.8768,3.2
1333.0,989.0,885.0,1621.0,1194.0,14.5,57.8,0.9456,2.1
1262.0,911.0,948.0,1545.0,1062.0,13.1,64.2,0.9606,1.7
1287.0,936.0,918.0,1606.0,1040.0,12.0,69.7,0.9735,2.0
1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,0.9915,1.6
999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0029,0.9
961.0,622.0,1382.0,1301.0,430.0,12.5,67.5,0.9768,0.7
913.0,525.0,1620.0,1260.0,370.0,12.5,66.8,0.962,0.5
969.0,607.0,1373.0,1324.0,438.0,12.3,66.3,0.9487,0.7
1182.0,845.0,1054.0,1539.0,704.0,12.4,64.9,0.9332,1.5
1740.0,1372.0,671.0,2144.0,1476.0,13.0,61.6,0.9209,4.8
1819.0,1582.0,575.0,2456.0,1716.0,13.6,58.8,0.912,6.2
1427.0,1275.0,701.0,1980.0,1398.0,13.9,57.1,0.9032,4.0
1390.0,1191.0,759.0,1879.0,1268.0,14.5,54.4,0.8917,3.3
1283.0,1117.0,813.0,1751.0,1188.0,15.5,50.1,0.8744,2.8
1304.0,1157.0,793.0,1801.0,1171.0,16.1,47.6,0.8655,3.0
1364.0,1202.0,771.0,1875.0,1250.0,16.3,47.1,0.864,3.3
1410.0,1268.0,724.0,1957.0,1344.0,16.4,47.5,0.8791,3.5
1476.0,1280.0,708.0,1955.0,1378.0,16.1,50.2,0.9094,4.0
1522.0,1320.0,690.0,2005.0,1435.0,16.0,50.7,0.9142,4.6
1442.0,1301.0,704.0,1952.0,1372.0,15.8,50.3,0.8989,4.1
1469.0,1344.0,677.0,1997.0,1471.0,15.5,50.6,0.884,4.5
1467.0,1292.0,698.0,1942.0,1439.0,15.4,51.4,0.8956,3.9
1421.0,1202.0,748.0,1854.0,1429.0,15.2,53.1,0.9117,4.0
1175.0,945.0,904.0,1604.0,1081.0,14.7,57.6,0.9573,2.2
1215.0,912.0,948.0,1547.0,993.0,14.2,58.3,0.938,2.1
1127.0,802.0,1064.0,1447.0,837.0,13.8,57.9,0.9085,1.7
1090.0,773.0,1105.0,1429.0,761.0,13.9,55.9,0.8842,1.6
1017.0,718.0,1182.0,1382.0,650.0,13.9,55.6,0.8765,1.3
997.0,677.0,1252.0,1359.0,591.0,13.8,55.1,0.8666,1.3
956.0,661.0,1260.0,1351.0,518.0,13.6,55.1,0.856,0.8
966.0,622.0,1317.0,1342.0,571.0,13.6,59.0,0.9129,0.8
1064.0,728.0,1161.0,1461.0,842.0,13.5,58.4,0.896,1.1
1300.0,935.0,902.0,1623.0,1145.0,13.8,58.0,0.9083,2.1
1348.0,998.0,834.0,1689.0,1218.0,14.6,53.1,0.8765,2.4
1425.0,1068.0,776.0,1764.0,1341.0,15.0,52.3,0.8881,2.6
1474.0,1061.0,768.0,1768.0,1406.0,15.4,52.1,0.9046,2.8
1490.0,1039.0,782.0,1757.0,1422.0,16.3,50.0,0.9158,2.6
1495.0,1040.0,809.0,1735.0,1373.0,17.1,47.9,0.9281,2.6
1376.0,953.0,900.0,1636.0,1153.0,19.0,42.9,0.937,2.1
1305.0,884.0,980.0,1573.0,927.0,19.5,42.3,0.9476,1.7
1283.0,844.0,1036.0,1539.0,766.0,19.5,42.3,0.9493,1.6
1392.0,967.0,930.0,1649.0,941.0,19.1,43.8,0.9556,2.1
1452.0,1063.0,856.0,1774.0,1146.0,18.5,46.3,0.9744,2.3
1633.0,1199.0,734.0,1919.0,1417.0,17.4,51.6,1.0159,3.5
1625.0,1191.0,733.0,1885.0,1442.0,17.1,51.3,0.9914,3.9
1535.0,1108.0,785.0,1820.0,1323.0,16.4,53.8,0.9964,3.3
1323.0,973.0,864.0,1712.0,1125.0,16.2,55.4,1.0132,2.3
1309.0,937.0,905.0,1672.0,1036.0,15.9,57.7,1.0356,2.1
1456.0,999.0,835.0,1714.0,1202.0,15.7,58.6,1.0396,2.8
1300.0,872.0,941.0,1577.0,1054.0,15.1,60.9,1.0398,2.1
1203.0,823.0,1004.0,1526.0,903.0,15.6,56.6,0.9951,1.6
1195.0,836.0,987.0,1554.0,885.0,15.2,57.9,0.9941,1.6
1062.0,711.0,1136.0,1461.0,700.0,14.9,60.6,1.0196,1.1
947.0,594.0,1300.0,1390.0,580.0,14.5,63.0,1.0316,0.7
1065.0,687.0,1143.0,1492.0,815.0,14.2,66.2,1.063,0.8
1155.0,734.0,1062.0,1528.0,1035.0,14.5,65.3,1.0704,1.2
1220.0,782.0,996.0,1560.0,1067.0,15.3,62.1,1.073,1.4
1301.0,862.0,914.0,1633.0,1114.0,16.3,59.0,1.0868,1.7
1279.0,870.0,911.0,1646.0,1000.0,18.9,49.6,1.07,1.8
1267.0,883.0,953.0,1617.0,906.0,19.4,46.1,1.0249,1.8
1239.0,848.0,981.0,1568.0,822.0,20.8,41.6,1.0091,1.9
1128.0,742.0,1144.0,1507.0,610.0,21.4,40.3,1.0126,1.3
1243.0,916.0,962.0,1669.0,657.0,21.2,39.3,0.9791,1.6
1208.0,853.0,1060.0,1506.0,647.0,20.3,38.0,0.8942,1.9
1306.0,938.0,961.0,1607.0,762.0,19.4,41.3,0.9206,2.3
1546.0,1151.0,769.0,1874.0,1122.0,18.5,43.8,0.9252,3.8
1501.0,1071.0,823.0,1744.0,1130.0,17.8,48.1,0.9689,3.5
1605.0,1153.0,769.0,1840.0,1637.0,17.9,46.9,0.952,4.3
1316.0,974.0,883.0,1673.0,1272.0,17.4,49.1,0.9688,2.8
1195.0,898.0,933.0,1594.0,1098.0,17.0,51.7,0.9914,1.9
1211.0,896.0,920.0,1624.0,1066.0,16.4,55.1,1.0198,1.9
1161.0,815.0,995.0,1582.0,909.0,16.1,60.0,1.0919,1.7
1095.0,767.0,1050.0,1547.0,818.0,15.8,60.5,1.0805,1.5
897.0,563.0,1417.0,1355.0,472.0,16.3,57.0,1.0491,0.6
842.0,468.0,1813.0,1274.0,394.0,16.9,53.9,1.0309,0.4
845.0,472.0,1786.0,1278.0,378.0,16.5,53.9,1.0049,0.3
942.0,586.0,1480.0,1373.0,432.0,16.4,54.0,0.9979,0.6
1090.0,768.0,1072.0,1538.0,699.0,15.7,57.6,1.0195,1.2
1514.0,1230.0,732.0,1996.0,1252.0,15.8,53.7,0.9571,3.6
1379.0,1252.0,711.0,1962.0,1237.0,17.4,42.1,0.8281,3.7
1074.0,854.0,1032.0,1484.0,772.0,17.9,38.4,0.7793,1.8
1090.0,868.0,1026.0,1509.0,766.0,18.5,36.7,0.7764,1.6
1110.0,964.0,947.0,1577.0,829.0,21.0,29.6,0.7263,1.9
1102.0,994.0,955.0,1599.0,783.0,21.3,28.1,0.7067,2.0
1100.0,1021.0,952.0,1607.0,822.0,21.3,26.1,0.6539,2.2
1094.0,1003.0,965.0,1574.0,813.0,21.3,26.8,0.6681,2.1
1076.0,1034.0,964.0,1544.0,813.0,21.3,24.2,0.606,2.3
1152.0,1062.0,928.0,1606.0,850.0,20.2,28.5,0.6682,2.6
1407.0,1249.0,720.0,1932.0,1276.0,17.0,43.1,0.8264,3.8
1438.0,1325.0,678.0,1993.0,1401.0,15.6,47.4,0.8347,4.4
1425.0,1325.0,678.0,1965.0,1356.0,15.3,47.4,0.8178,4.5
1279.0,1131.0,775.0,1758.0,1243.0,14.5,49.7,0.8177,3.3
1132.0,916.0,920.0,1561.0,1083.0,13.9,52.0,0.8231,2.0
1006.0,729.0,1142.0,1370.0,795.0,14.5,49.4,0.8106,1.1
982.0,700.0,1204.0,1359.0,735.0,13.8,51.4,0.8071,0.9
969.0,636.0,1271.0,1309.0,684.0,14.0,51.3,0.8163,0.8
941.0,621.0,1298.0,1330.0,714.0,13.0,56.8,0.8444,0.7
892.0,522.0,1522.0,1285.0,456.0,11.0,70.0,0.9215,0.5
834.0,459.0,1908.0,1212.0,361.0,8.8,80.5,0.9147,0.3
909.0,567.0,1542.0,1287.0,418.0,9.6,75.4,0.9004,0.5
1061.0,745.0,1178.0,1429.0,616.0,9.8,75.0,0.9093,1.1
1441.0,1124.0,851.0,1829.0,1089.0,10.0,74.2,0.9117,3.0
1498.0,1325.0,684.0,2095.0,1329.0,11.2,69.7,0.9232,3.8
1343.0,1185.0,760.0,1857.0,1311.0,12.0,62.9,0.8803,3.4
1308.0,1166.0,792.0,1794.0,1236.0,12.8,55.8,0.821,3.0
1209.0,1097.0,837.0,1746.0,1147.0,13.1,54.8,0.8234,2.7
1310.0,1207.0,770.0,1847.0,1301.0,13.8,53.4,0.8351,3.5
1171.0,1064.0,881.0,1639.0,1097.0,16.0,42.4,0.7674,2.8
1112.0,980.0,924.0,1589.0,900.0,14.1,49.8,0.7971,1.9
1132.0,927.0,944.0,1570.0,781.0,12.0,61.1,0.8537,2.0
1225.0,1111.0,818.0,1719.0,1013.0,13.6,54.6,0.8465,3.0
1065.0,953.0,962.0,1514.0,790.0,13.7,49.5,0.7695,1.9
1236.0,1084.0,854.0,1688.0,1059.0,11.7,57.1,0.7822,2.7
1309.0,1126.0,812.0,1722.0,1205.0,11.5,58.2,0.7867,3.3
1089.0,884.0,1006.0,1487.0,975.0,12.6,54.2,0.7881,1.7
1000.0,776.0,1141.0,1375.0,896.0,12.0,54.9,0.7664,1.3
1041.0,782.0,1105.0,1425.0,911.0,11.0,61.4,0.8057,1.3
1045.0,756.0,1137.0,1411.0,902.0,11.1,62.2,0.8199,1.2
997.0,744.0,1151.0,1405.0,832.0,10.8,62.5,0.8082,1.1
948.0,634.0,1320.0,1326.0,715.0,11.3,60.0,0.8025,0.9
878.0,551.0,1493.0,1272.0,683.0,10.6,61.6,0.7856,0.6
892.0,522.0,1572.0,1255.0,648.0,10.9,58.6,0.7628,0.6
954.0,561.0,1496.0,1255.0,612.0,10.8,57.2,0.7382,0.8
1045.0,751.0,1186.0,1403.0,800.0,10.4,59.2,0.7455,1.2
1383.0,1109.0,832.0,1706.0,1173.0,11.0,57.3,0.7501,3.1
1597.0,1395.0,652.0,2080.0,1519.0,11.2,56.9,0.7565,4.4
1318.0,1124.0,762.0,1770.0,1287.0,12.1,54.9,0.7734,3.4
1138.0,898.0,950.0,1505.0,966.0,15.1,44.3,0.7535,1.7
1098.0,842.0,1012.0,1440.0,828.0,15.6,40.6,0.7146,1.5
1118.0,927.0,959.0,1477.0,825.0,16.9,34.6,0.6597,1.7
1170.0,1009.0,879.0,1566.0,872.0,16.6,35.6,0.6697,2.2
1390.0,1028.0,829.0,1730.0,1002.0,9.6,81.1,0.972,2.7
1353.0,1096.0,774.0,1783.0,1159.0,11.7,69.1,0.9497,2.8
1260.0,1050.0,828.0,1722.0,979.0,10.7,68.5,0.8794,2.7
1501.0,1302.0,681.0,2008.0,1311.0,10.7,67.3,0.8643,4.5
1273.0,1130.0,795.0,1744.0,1071.0,10.8,65.7,0.8486,3.5
1179.0,955.0,928.0,1571.0,899.0,10.3,66.3,0.8336,2.6
1047.0,809.0,1064.0,1435.0,766.0,10.1,66.9,0.8248,1.7
973.0,739.0,1186.0,1354.0,589.0,10.4,61.1,0.7717,1.3
997.0,737.0,1168.0,1341.0,631.0,10.3,59.9,0.7516,1.3
970.0,621.0,1400.0,1249.0,479.0,11.0,58.4,0.7686,1.0
902.0,568.0,1450.0,1253.0,479.0,9.1,68.1,0.789,0.7
921.0,538.0,1564.0,1224.0,417.0,9.5,68.2,0.8091,0.7
858.0,490.0,1707.0,1212.0,378.0,9.3,72.3,0.8496,0.5
878.0,457.0,1935.0,1158.0,344.0,9.9,66.8,0.8152,0.5
893.0,540.0,1604.0,1268.0,413.0,7.6,83.2,0.8695,0.6
1038.0,697.0,1260.0,1383.0,605.0,8.1,79.0,0.8544,1.1
1320.0,1035.0,902.0,1721.0,991.0,8.7,74.6,0.8429,2.7
1353.0,1235.0,740.0,1937.0,1175.0,8.6,75.1,0.8415,3.5
1133.0,933.0,969.0,1552.0,923.0,9.7,69.7,0.8389,2.3
1066.0,849.0,1039.0,1468.0,829.0,11.0,64.4,0.8447,1.6
1027.0,809.0,1081.0,1442.0,733.0,13.6,53.0,0.8209,1.3
1106.0,935.0,958.0,1570.0,819.0,14.2,48.4,0.778,2.0
1038.0,907.0,976.0,1492.0,723.0,14.2,46.3,0.7438,1.9
1084.0,924.0,986.0,1501.0,786.0,16.0,41.3,0.7462,1.9
1105.0,982.0,939.0,1545.0,850.0,17.7,35.4,0.7094,2.2
1102.0,957.0,968.0,1527.0,820.0,17.1,37.4,0.7225,2.0
